component,units,registry_cases,eligible_pairs,analytically_unexcited_pairs,pass_count,fail_count,unresolved_count,target_norm,U_num,normalized_signal_uncertainty,gate_margin,bootstrap_95pct_lower,minimum_gate_margin,median_gate_margin,lower_tail_diagnostic,maximum_gate_margin,worst_eligible_case_id,h1_status,closure_for_learning
interpolation_density,M L^-2,NOT_CREATED,NOT_EVALUATED,NOT_EVALUATED,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,UNRESOLVED_CONTRACT_GAP,NOT_ASSIGNED
density_summation,M L^-2,NOT_CREATED,NOT_EVALUATED,NOT_EVALUATED,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,UNRESOLVED_CONTRACT_GAP,NOT_ASSIGNED
density_rate,M L^-2 T^-1,NOT_CREATED,NOT_EVALUATED,NOT_EVALUATED,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,UNRESOLVED_CONTRACT_GAP,NOT_ASSIGNED
pressure_gradient_acceleration,L T^-2,NOT_CREATED,NOT_EVALUATED,NOT_EVALUATED,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,UNRESOLVED_CONTRACT_GAP,NOT_ASSIGNED
viscosity_laplacian_acceleration,L T^-2,NOT_CREATED,NOT_EVALUATED,NOT_EVALUATED,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,UNRESOLVED_CONTRACT_GAP,NOT_ASSIGNED
total_acceleration,L T^-2,NOT_CREATED,NOT_EVALUATED,NOT_EVALUATED,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,UNRESOLVED_CONTRACT_GAP,NOT_ASSIGNED
