component,raw_target_rms_min,raw_target_rms_max,normalized_Y_min,normalized_Y_max,U_num_max,refinement_regular,refinement_jitter,spectral_regular,spectral_jitter,refinement_regular_M,refinement_jitter_M,spectral_regular_M,spectral_jitter_M,minimum_formal_monotonicity_margin,minimum_formal_dispersion_margin_C_minus_D,regular_scope,jitter_scope,component_h2_verdict,formal_support_over_dx
interpolation_density,8.832035099451697e-05,0.05466836085574154,8.832035099451697e-05,0.05466836085574154,3.51616051981753e-14,FAIL,FAIL,FAIL,FAIL,0.0,0.5833333333333334,0.0,0.3333333333333333,-0.75,-0.021832669874940702,FAIL,FAIL,H2_SCALING_FAIL_REGULAR_SCOPE,4.0
density_rate,0.0,0.06424696355683726,0.0,0.6424696355683726,5.842686170140558e-14,PASS,PASS,PASS,PASS,1.0,1.0,1.0,1.0,0.25,0.40297262968986947,PASS,PASS,H2_SIGNAL_SCALING_PASS_CANONICAL_SUPPORT,4.0
pressure_gradient_acceleration,0.0,11.057592630461095,0.0,1105.7592630461095,1.7796195255906746e-12,PASS,FAIL,PASS,PASS,1.0,0.0,1.0,0.75,-0.75,0.025395425931466153,PASS,FAIL,H2_SCALING_PASS_REGULAR_SCOPE_ONLY,4.0
viscosity_laplacian_acceleration,0.0,0.04920267914697564,0.0,4.920267914697564,1.46444348135269e-14,PASS,FAIL,PASS,PASS,1.0,0.0,1.0,1.0,-0.75,0.19587552067709268,PASS,FAIL,H2_SCALING_PASS_REGULAR_SCOPE_ONLY,4.0
total_acceleration,5.704720794072684e-05,11.057592630461095,0.005704720794072683,1105.7592630461095,1.7796195255906746e-12,PASS,FAIL,PASS,PASS,1.0,0.0,1.0,0.875,-0.75,0.025395425931466153,PASS,FAIL,H2_SCALING_PASS_REGULAR_SCOPE_ONLY,4.0
