component,units,registered_cases,eligible_cases,analytically_unexcited,case_signal_pass,case_signal_low,case_unresolved,T_c,U_c,R_c,point_margin,L95_c,bootstrap_margin,minimum_case_gate_margin,median_case_gate_margin,lower_tail_case_gate_margin_p10,maximum_case_gate_margin,worst_eligible_case_id,component_verdict,closed_for_learning_ddo01
interpolation_density,M L^-2,24,24,0,24,0,0,0.007631393558578417,3.108267802848074E-14,245519177967.41483,24551917796.74148,228367911955.50385,45673582391.10077,1428712435.0554097,25648486677.36759,1428712435.0554097,38686501505.01213,"F1|N=16|h_over_dx=4|mode=1,0|probe=transverse|layout=regular",H1_SIGNAL_PASS,false
density_rate,M L^-2 T^-1,24,8,16,8,0,0,0.04339104026510208,2.686777340006246E-14,1614984599542.633,161498459954.2633,917705160812.6146,183541032162.52292,42421371793.34576,121060951198.7556,42421371793.34576,304100683960.80914,"F1|N=32|h_over_dx=4|mode=1,0|probe=longitudinal|layout=regular",H1_SIGNAL_PASS,false
pressure_gradient_acceleration,L T^-2,24,8,16,8,0,0,0.5474323680816151,2.49547103422026E-13,2193703555660.252,219370355566.0252,1642658116559.0906,328531623311.8181,50773791671.4669,223448243122.7318,50773791671.4669,435413220024.8358,"F1|N=32|h_over_dx=4|mode=1,0|probe=density|layout=regular",H1_SIGNAL_PASS,false
viscosity_laplacian_acceleration,L T^-2,24,16,8,16,0,0,0.0027891424569048092,1.984763889787807E-15,1405276703821.43,140527670382.143,1170250584034.9502,234050116806.99005,21978318100.234756,155454460950.89047,22837535979.78796,248720168863.66284,"F1|N=32|h_over_dx=4|mode=1,0|probe=longitudinal|layout=regular",H1_SIGNAL_PASS,false
total_acceleration,L T^-2,24,24,0,24,0,0,0.31606842943405716,2.49547103422026E-13,1266568215378.2903,126656821537.82903,791027679511.1615,158205535902.2323,21978318100.234756,184339459141.1422,50773791671.4669,435413220024.8358,"F1|N=32|h_over_dx=4|mode=1,0|probe=longitudinal|layout=regular",H1_SIGNAL_PASS,false
